ko,DEFINITION
K00001,E1.1.1.1, adh; alchl dehydrgenase [EC1.1.1.1]
K00029,E1.1.1.40, maeB; malate dehydrgenase (xalacetate-decarbxylating)(NADP+) [EC1.1.1.40]
K00030,IDH3; iscitrate dehydrgenase (NAD+) [EC1.1.1.41]
K00031,IDH1, IDH2, icd; iscitrate dehydrgenase [EC1.1.1.42]
K00032,E1.1.1.43; phsphglucnate 2-dehydrgenase [EC1.1.1.43]
K00033,PGD, gnd, gntZ; 6-phsphglucnate dehydrgenase [EC1.1.1.44 1.1.1.343]
K00034,gdh; glucse 1-dehydrgenase [EC1.1.1.47]
K00035,gal; D-galactse 1-dehydrgenase [EC1.1.1.48]
K00036,G6PD, zwf; glucse-6-phsphate 1-dehydrgenase [EC1.1.1.49 1.1.1.363]
K00037,AKR1C4; 3alpha-hydrxysterid 3-dehydrgenase / chlrdecne reductase [EC1.1.1.50 1.1.1.357 1.1.1.225]
K00038,E1.1.1.53; 3alpha(r 20beta)-hydrxysterid dehydrgenase [EC1.1.1.53]
K00039,rbtD; ribitl 2-dehydrgenase [EC1.1.1.56]
K00040,uxuB; fructurnate reductase [EC1.1.1.57]
K00041,uxaB; tagaturnate reductase [EC1.1.1.58]
K00042,garR, glxR; 2-hydrxy-3-xprpinate reductase [EC1.1.1.60]
K00043,gbd; 4-hydrxybutyrate dehydrgenase [EC1.1.1.61]
K00044,HSD17B1; 17beta-estradil 17-dehydrgenase [EC1.1.1.62]
K00045,E1.1.1.67, mtlK; mannitl 2-dehydrgenase [EC1.1.1.67]
K00046,idnO; glucnate 5-dehydrgenase [EC1.1.1.69]
K00048,fucO; lactaldehyde reductase [EC1.1.1.77]
K00049,GRHPR; glyxylate/hydrxypyruvate reductase [EC1.1.1.79 1.1.1.81]
K00050,ttuD; hydrxypyruvate reductase [EC1.1.1.81]
K00051,E1.1.1.82; malate dehydrgenase (NADP+) [EC1.1.1.82]
K00052,leuB, IMDH; 3-isprpylmalate dehydrgenase [EC1.1.1.85]
K00053,ilvC; etl-acid reductismerase [EC1.1.1.86]
K00054,mvaA; hydrxymethylglutaryl-CA reductase [EC1.1.1.88]
K00055,E1.1.1.90; aryl-alchl dehydrgenase [EC1.1.1.90]
K00057,gpsA; glycerl-3-phsphate dehydrgenase (NAD(P)+) [EC1.1.1.94]
K00058,serA, PHGDH; D-3-phsphglycerate dehydrgenase / 2-xglutarate reductase [EC1.1.1.95 1.1.1.399]
K00059,fabG, OAR1; 3-xacyl-[acyl-carrier prtein] reductase [EC1.1.1.100]
K00060,tdh; threnine 3-dehydrgenase [EC1.1.1.103]
K00061,RDH5; 11-cis-retinl dehydrgenase [EC1.1.1.315]
K00062,E1.1.1.116; D-arabinse 1-dehydrgenase [EC1.1.1.116]
K00063,ARA1; D-arabinse 1-dehydrgenase [EC1.1.1.117]
K00064,E1.1.1.122; D-thre-aldse 1-dehydrgenase [EC1.1.1.122]
K00065,duD; 2-dehydr-3-dexy-D-glucnate 5-dehydrgenase [EC1.1.1.127]
K00066,algD; GDP-mannse 6-dehydrgenase [EC1.1.1.132]
K00067,rfbD, rmlD; dTDP-4-dehydrrhamnse reductase [EC1.1.1.133]
K00068,srlD; srbitl-6-phsphate 2-dehydrgenase [EC1.1.1.140]
K00069,HPGD; 15-hydrxyprstaglandin dehydrgenase (NAD) [EC1.1.1.141]
K00070,HSD3B; 3beta-hydrxy-Delta5-sterid dehydrgenase / sterid Delta-ismerase [EC1.1.1.145 5.3.3.1]
K00071,HSD11B2; crticsterid 11-beta-dehydrgenase iszyme 2 [EC1.1.1.-]
K00072,SPR; sepiapterin reductase [EC1.1.1.153]
K00073,allD; ureidglyclate dehydrgenase (NAD+) [EC1.1.1.350]
K00074,paaH, hbd, fadB, mmgB; 3-hydrxybutyryl-CA dehydrgenase [EC1.1.1.157]
K00075,murB; UDP-N-acetylmuramate dehydrgenase [EC1.3.1.98]
K00076,hdhA; 7-alpha-hydrxysterid dehydrgenase [EC1.1.1.159]
K00077,panE, apbA; 2-dehydrpantate 2-reductase [EC1.1.1.169]
K00078,DHDH; dihydrdil dehydrgenase / D-xylse 1-dehydrgenase (NADP) [EC1.3.1.20 1.1.1.179]
K00079,CBR1; carbnyl reductase 1 [EC1.1.1.184 1.1.1.189 1.1.1.197]
K00081,CBR2; carbnyl reductase 2 [EC1.1.1.184]
K00082,ribD2; 5-amin-6-(5-phsphribsylamin)uracil reductase [EC1.1.1.193]
K00083,CAD; cinnamyl-alchl dehydrgenase [EC1.1.1.195]
K00084,CBR3; carbnyl reductase 3 [EC1.1.1.184]
K00085,E1.1.1.200; aldse-6-phsphate reductase (NADPH2) [EC1.1.1.200]
K00086,dhaT; 1,3-prpanedil dehydrgenase [EC1.1.1.202]
K00087,ygeS, xdhA; xanthine dehydrgenase mlybdenum-binding subunit [EC1.17.1.4]
K00088,IMPDH, guaB; IMP dehydrgenase [EC1.1.1.205]
K00089,AKR1C2; 3alpha-hydrxysterid 3-dehydrgenase [EC1.1.1.213 1.1.1.357]
K00090,ghrB; glyxylate/hydrxypyruvate/2-etglucnate reductase [EC1.1.1.79 1.1.1.81 1.1.1.215]
K00091,E1.1.1.219; dihydrflavnl-4-reductase [EC1.1.1.219]
K00093,mdh; methanl dehydrgenase [EC1.1.1.244]
K00094,E1.1.1.251, gatD; galactitl-1-phsphate 5-dehydrgenase [EC1.1.1.251]
K00095,MTD; mannitl dehydrgenase [EC1.1.1.255]
K00096,araM, egsA; glycerl-1-phsphate dehydrgenase [NAD(P)+] [EC1.1.1.261]
K00097,pdxA; 4-hydrxythrenine-4-phsphate dehydrgenase [EC1.1.1.262]
K00098,idnD; L-idnate 5-dehydrgenase [EC1.1.1.264]
K00099,dxr; 1-dexy-D-xylulse-5-phsphate reductismerase [EC1.1.1.267]
K00100,bdhAB; butanl dehydrgenase [EC1.1.1.-]
K00101,lldD; L-lactate dehydrgenase (cytchrme) [EC1.1.2.3]
K00102,LDHD, dld; D-lactate dehydrgenase (cytchrme) [EC1.1.2.4]
K00103,GULO; L-gulnlactne xidase [EC1.1.3.8]
K00104,glcD; glyclate xidase [EC1.1.3.15]
K00105,E1.1.3.21; alpha-glycerphsphate xidase [EC1.1.3.21]
K00106,XDH; xanthine dehydrgenase/xidase [EC1.17.1.4 1.17.3.2]
K00107,ALO; D-arabinn-1,4-lactne xidase [EC1.1.3.37]
K00108,betA, CHDH; chline dehydrgenase [EC1.1.99.1]
K00109,L2HGDH; 2-hydrxyglutarate dehydrgenase [EC1.1.99.2]
K00111,glpA, glpD; glycerl-3-phsphate dehydrgenase [EC1.1.5.3]
K00112,glpB; glycerl-3-phsphate dehydrgenase subunit B [EC1.1.5.3]
K00113,glpC; glycerl-3-phsphate dehydrgenase subunit C
K00114,exaA; alchl dehydrgenase (cytchrme c) [EC1.1.2.8]
K00115,GLD; glucse 1-dehydrgenase (FAD, quinne) [EC1.1.5.9]
K00116,mq; malate dehydrgenase (quinne) [EC1.1.5.4]
K00117,gcd; quinprtein glucse dehydrgenase [EC1.1.5.2]
K00118,gf; glucse-fructse xidreductase [EC1.1.99.28]
K00119,E1.1.99.36; alchl dehydrgenase (nictinprtein) [EC1.1.99.36]
K00120,fgd2; F420-dependent hydrxymyclic acid dehydrgenase [EC1.1.98.-]
K00121,frmA, ADH5, adhC; S-(hydrxymethyl)glutathine dehydrgenase / alchl dehydrgenase [EC1.1.1.284 1.1.1.1]
K00122,FDH; frmate dehydrgenase [EC1.17.1.9]
K00123,fdG, fdhF, fdwA; frmate dehydrgenase majr subunit [EC1.17.1.9]
K00124,fdH, fdsB; frmate dehydrgenase irn-sulfur subunit
K00125,fdhB; frmate dehydrgenase (cenzyme F420) beta subunit [EC1.17.98.3 1.8.98.6]
K00126,fdsD; frmate dehydrgenase subunit delta [EC1.17.1.9]
K00127,fdI, fdsG; frmate dehydrgenase subunit gamma
K00128,ALDH; aldehyde dehydrgenase (NAD+) [EC1.2.1.3]
K00129,E1.2.1.5; aldehyde dehydrgenase (NAD(P)+) [EC1.2.1.5]
K00130,betB, gbsA; betaine-aldehyde dehydrgenase [EC1.2.1.8]
K00131,gapN; glyceraldehyde-3-phsphate dehydrgenase (NADP+) [EC1.2.1.9]
K00132,E1.2.1.10; acetaldehyde dehydrgenase (acetylating) [EC1.2.1.10]
K00133,asd; aspartate-semialdehyde dehydrgenase [EC1.2.1.11]
K00134,GAPDH, gapA; glyceraldehyde 3-phsphate dehydrgenase [EC1.2.1.12]
K00135,gabD; succinate-semialdehyde dehydrgenase / glutarate-semialdehyde dehydrgenase [EC1.2.1.16 1.2.1.79 1.2.1.20]
K00137,prr; aminbutyraldehyde dehydrgenase [EC1.2.1.19]
K00138,aldB; aldehyde dehydrgenase [EC1.2.1.-]
K00139,ALDH5A1; succinate-semialdehyde dehydrgenase [EC1.2.1.24]
K00140,mmsA, ilA, ALDH6A1; malnate-semialdehyde dehydrgenase (acetylating) / methylmalnate-semialdehyde dehydrgenase [EC1.2.1.18 1.2.1.27]
K00141,xylC; benzaldehyde dehydrgenase (NAD) [EC1.2.1.28]
K00142,AASDH; acyl-CA synthetase [EC6.2.1.-]
K00143,LYS2; L-2-aminadipate reductase [EC1.2.1.95]
K00145,argC; N-acetyl-gamma-glutamyl-phsphate reductase [EC1.2.1.38]
K00146,feaB; phenylacetaldehyde dehydrgenase [EC1.2.1.39]
K00147,prA; glutamate-5-semialdehyde dehydrgenase [EC1.2.1.41]
K00148,fdhA; glutathine-independent frmaldehyde dehydrgenase [EC1.2.1.46]
K00149,ALDH9A1; aldehyde dehydrgenase family 9 member A1 [EC1.2.1.47 1.2.1.3]
K00150,gap2; glyceraldehyde-3-phsphate dehydrgenase (NAD(P)) [EC1.2.1.59]
K00151,hpaE, hpcC; 5-carbxymethyl-2-hydrxymucnic-semialdehyde dehydrgenase [EC1.2.1.60]
K00152,nahF; salicylaldehyde dehydrgenase [EC1.2.1.65]
K00153,E1.1.1.306; S-(hydrxymethyl)mycthil dehydrgenase [EC1.1.1.306]
K00154,E1.2.1.68; cniferyl-aldehyde dehydrgenase [EC1.2.1.68]
K00155,LNAA, LNBA; L-tyrsine reductase [EC1.2.1.101]
K00156,pxB; pyruvate dehydrgenase (quinne) [EC1.2.5.1]
K00157,AOX; aldehyde xidase [EC1.2.3.1]
K00158,E1.2.3.3, pxL; pyruvate xidase [EC1.2.3.3]
K00161,PDHA, pdhA; pyruvate dehydrgenase E1 cmpnent alpha subunit [EC1.2.4.1]
K00162,PDHB, pdhB; pyruvate dehydrgenase E1 cmpnent beta subunit [EC1.2.4.1]
K00163,aceE; pyruvate dehydrgenase E1 cmpnent [EC1.2.4.1]
K00164,OGDH, sucA; 2-xglutarate dehydrgenase E1 cmpnent [EC1.2.4.2]
K00166,BCKDHA, bdA1; 2-xisvalerate dehydrgenase E1 cmpnent alpha subunit [EC1.2.4.4]
K00167,BCKDHB, bdA2; 2-xisvalerate dehydrgenase E1 cmpnent beta subunit [EC1.2.4.4]
K00169,prA; pyruvate ferredxin xidreductase alpha subunit [EC1.2.7.1]
K00170,prB; pyruvate ferredxin xidreductase beta subunit [EC1.2.7.1]
K00171,prD; pyruvate ferredxin xidreductase delta subunit [EC1.2.7.1]
K00172,prG; pyruvate ferredxin xidreductase gamma subunit [EC1.2.7.1]
K00174,rA, rA, frA; 2-xglutarate/2-xacid ferredxin xidreductase subunit alpha [EC1.2.7.3 1.2.7.11]
K00175,rB, rB, frB; 2-xglutarate/2-xacid ferredxin xidreductase subunit beta [EC1.2.7.3 1.2.7.11]
K00176,rD, rD; 2-xglutarate ferredxin xidreductase subunit delta [EC1.2.7.3]
K00177,rC, rC; 2-xglutarate ferredxin xidreductase subunit gamma [EC1.2.7.3]
K00179,irA; indlepyruvate ferredxin xidreductase, alpha subunit [EC1.2.7.8]
K00180,irB; indlepyruvate ferredxin xidreductase, beta subunit [EC1.2.7.8]
K00181,PORCN; O-palmitleyl transferase [EC2.3.1.250]
K00182,WNT2; wingless-type MMTV integratin site family, member 2
K00183,K00183; prarytic mlybdpterin-cntaining xidreductase family, mlybdpterin binding subunit
K00184,K00184; prarytic mlybdpterin-cntaining xidreductase family, irn-sulfur binding subunit
K00185,K00185; prarytic mlybdpterin-cntaining xidreductase family, membrane subunit
K00186,vrA; 2-xisvalerate ferredxin xidreductase, alpha subunit [EC1.2.7.7]
K00187,vrB; 2-xisvalerate ferredxin xidreductase, beta subunit [EC1.2.7.7]
K00188,vrD; 2-xisvalerate ferredxin xidreductase, delta subunit [EC1.2.7.7]
K00189,vrG; 2-xisvalerate ferredxin xidreductase, gamma subunit [EC1.2.7.7]
K00192,cdhA; anaerbic carbn-mnxide dehydrgenase, CODH/ACS cmplex subunit alpha [EC1.2.7.4]
K00193,cdhC; acetyl-CA decarbnylase/synthase, CODH/ACS cmplex subunit beta [EC2.3.1.169]
K00194,cdhD, acsD; acetyl-CA decarbnylase/synthase, CODH/ACS cmplex subunit delta [EC2.1.1.245]
K00195,cdhB; anaerbic carbn-mnxide dehydrgenase, CODH/ACS cmplex subunit epsiln
K00196,cF; anaerbic carbn-mnxide dehydrgenase irn sulfur subunit
K00197,cdhE, acsC; acetyl-CA decarbnylase/synthase, CODH/ACS cmplex subunit gamma [EC2.1.1.245]
K00198,cS, acsA; anaerbic carbn-mnxide dehydrgenase catalytic subunit [EC1.2.7.4]
K00200,fwdA, fmdA; frmylmethanfuran dehydrgenase subunit A [EC1.2.7.12]
K00201,fwdB, fmdB; frmylmethanfuran dehydrgenase subunit B [EC1.2.7.12]
K00202,fwdC, fmdC; frmylmethanfuran dehydrgenase subunit C [EC1.2.7.12]
K00203,fwdD, fmdD; frmylmethanfuran dehydrgenase subunit D [EC1.2.7.12]
K00204,fwdH; 4Fe-4S ferredxin
K00205,fwdF, fmdF; 4Fe-4S ferredxin
K00206,phnY; phsphnacetaldehyde dehydrgenase [EC1.2.1.-]
K00207,DPYD; dihydrpyrimidine dehydrgenase (NADP+) [EC1.3.1.2]
K00208,fabI; enyl-[acyl-carrier prtein] reductase I [EC1.3.1.9 1.3.1.10]
K00209,fabV, ter; enyl-[acyl-carrier prtein] reductase / trans-2-enyl-CA reductase (NAD+) [EC1.3.1.9 1.3.1.44]
K00210,E1.3.1.12; prephenate dehydrgenase [EC1.3.1.12]
K00211,TYR1; prephenate dehydrgenase (NADP+) [EC1.3.1.13]
K00212,AKR1C1; 20alpha/3alpha-hydrxysterid dehydrgenase / dihydrdil dehydrgenase [EC1.1.1.149 1.1.1.357 1.3.1.20]
K00213,DHCR7; 7-dehydrchlesterl reductase [EC1.3.1.21]
K00214,BLVRA, bvdR; biliverdin reductase [EC1.3.1.24]
K00215,dapB; 4-hydrxy-tetrahydrdipiclinate reductase [EC1.17.1.8]
K00216,entA; 2,3-dihydr-2,3-dihydrxybenzate dehydrgenase [EC1.3.1.28]
K00217,E1.3.1.32; maleylacetate reductase [EC1.3.1.32]
K00218,pr; prtchlrphyllide reductase [EC1.3.1.33]
K00219,fadH; 2,4-dienyl-CA reductase (NADPH2) [EC1.3.1.34]
K00220,tyrC; cyclhexadieny/prephenate dehydrgenase [EC1.3.1.43 1.3.1.12]
K00221,E4.99.1.2; alylmercury lyase [EC4.99.1.2]
K00222,TM7SF2, ERG24; Delta14-sterl reductase [EC1.3.1.70]
K00223,ERG4; Delta24(24(1))-sterl reductase [EC1.3.1.71]
K00224,CEQORH; chlrplastic xene reductase [EC1.3.1.-]
K00225,GLDH; L-galactn-1,4-lactne dehydrgenase [EC1.3.2.3]
K00226,pyrD; dihydrrtate dehydrgenase (fumarate) [EC1.3.98.1]
K00227,SC5DL, ERG3; Delta7-sterl 5-desaturase [EC1.14.19.20]
K00228,CPOX, hemF; cprprphyringen III xidase [EC1.3.3.3]
K00230,hemG; menaquinne-dependent prtprphyringen xidase [EC1.3.5.3]
K00231,PPOX, hemY; prtprphyringen/cprprphyringen III xidase [EC1.3.3.4 1.3.3.15]
K00232,E1.3.3.6, ACOX1, ACOX3; acyl-CA xidase [EC1.3.3.6]
K00234,SDHA, SDH1; succinate dehydrgenase (ubiquinne) flavprtein subunit [EC1.3.5.1]
K00235,SDHB, SDH2; succinate dehydrgenase (ubiquinne) irn-sulfur subunit [EC1.3.5.1]
K00236,SDHC, SDH3; succinate dehydrgenase (ubiquinne) cytchrme b560 subunit
K00237,SDHD, SDH4; succinate dehydrgenase (ubiquinne) membrane anchr subunit
K00239,sdhA, frdA; succinate dehydrgenase / fumarate reductase, flavprtein subunit [EC1.3.5.1 1.3.5.4]
K00240,sdhB, frdB; succinate dehydrgenase / fumarate reductase, irn-sulfur subunit [EC1.3.5.1 1.3.5.4]
K00241,sdhC, frdC; succinate dehydrgenase / fumarate reductase, cytchrme b subunit
K00242,sdhD, frdD; succinate dehydrgenase / fumarate reductase, membrane anchr subunit
K00243,K00243; uncharacterized prtein
K00244,frdA; fumarate reductase flavprtein subunit [EC1.3.5.4]
K00245,frdB; fumarate reductase irn-sulfur subunit [EC1.3.5.4]
K00246,frdC; fumarate reductase subunit C
K00247,frdD; fumarate reductase subunit D
K00248,ACADS, bcd; butyryl-CA dehydrgenase [EC1.3.8.1]
K00249,ACADM, acd; acyl-CA dehydrgenase [EC1.3.8.7]
K00251,AKR1D1; 3-x-5-beta-sterid 4-dehydrgenase [EC1.3.1.3]
K00252,GCDH, gcdH; glutaryl-CA dehydrgenase [EC1.3.8.6]
K00253,IVD, ivd; isvaleryl-CA dehydrgenase [EC1.3.8.4]
K00254,DHODH, pyrD; dihydrrtate dehydrgenase [EC1.3.5.2]
K00255,ACADL; lng-chain-acyl-CA dehydrgenase [EC1.3.8.8]
K00256,E1.3.99.16; isquinline 1-xidreductase [EC1.3.99.16]
K00257,mbtN, fadE14; acyl-ACP dehydrgenase [EC1.3.99.-]
K00258,SWNR; swainsnine bisynthesis xidreductase SwnR [EC1.3.1.-]
K00259,ald; alanine dehydrgenase [EC1.4.1.1]
K00260,gudB, rcG; glutamate dehydrgenase [EC1.4.1.2]
K00261,GLUD1_2, gdhA; glutamate dehydrgenase (NAD(P)+) [EC1.4.1.3]
K00262,E1.4.1.4, gdhA; glutamate dehydrgenase (NADP+) [EC1.4.1.4]
K00263,E1.4.1.9; leucine dehydrgenase [EC1.4.1.9]
K00264,GLT1; glutamate synthase (NADH) [EC1.4.1.14]
K00265,gltB; glutamate synthase (NADPH) large chain [EC1.4.1.13]
K00266,gltD; glutamate synthase (NADPH) small chain [EC1.4.1.13]
K00270,pdh; phenylalanine dehydrgenase [EC1.4.1.20]
K00271,vdh; valine dehydrgenase (NAD+) [EC1.4.1.23]
K00272,DDO; D-aspartate xidase [EC1.4.3.1]
K00273,DAO, aa; D-amin-acid xidase [EC1.4.3.3]
K00274,MAO, afH; mnamine xidase [EC1.4.3.4]
K00275,pdxH, PNPO; pyridxamine 5'-phsphate xidase [EC1.4.3.5]
K00276,AOC3, AOC2, tynA; primary-amine xidase [EC1.4.3.21]
K00277,LOX; prtein-lysine 6-xidase [EC1.4.3.13]
K00278,nadB; L-aspartate xidase [EC1.4.3.16]
K00279,CKX; cytinin dehydrgenase [EC1.5.99.12]
K00280,LOXL2_3_4; lysyl xidase-lie prtein 2/3/4 [EC1.4.3.-]
K00281,GLDC, gcvP; glycine dehydrgenase [EC1.4.4.2]
K00282,gcvPA; glycine dehydrgenase subunit 1 [EC1.4.4.2]
K00283,gcvPB; glycine dehydrgenase subunit 2 [EC1.4.4.2]
K00284,GLU, gltS; glutamate synthase (ferredxin) [EC1.4.7.1]
K00285,dadA; D-amin-acid dehydrgenase [EC1.4.5.1]
K00286,prC; pyrrline-5-carbxylate reductase [EC1.5.1.2]
K00287,DHFR, flA; dihydrflate reductase [EC1.5.1.3]
K00288,MTHFD; methylenetetrahydrflate dehydrgenase (NADP+) / methenyltetrahydrflate cyclhydrlase / frmyltetrahydrflate synthetase [EC1.5.1.5 3.5.4.9 6.3.4.3]
K00289,ALDH1L; frmyltetrahydrflate dehydrgenase [EC1.5.1.6]
K00290,LYS1; saccharpine dehydrgenase (NAD+, L-lysine frming) [EC1.5.1.7]
K00293,LYS9; saccharpine dehydrgenase (NADP+, L-glutamate frming) [EC1.5.1.10]
K00294,E1.2.1.88; 1-pyrrline-5-carbxylate dehydrgenase [EC1.2.1.88]
K00295,MTD1; methylenetetrahydrflate dehydrgenase (NAD+) [EC1.5.1.15]
K00296,E1.5.1.19; D-npaline dehydrgenase [EC1.5.1.19]
K00297,metF, MTHFR; methylenetetrahydrflate reductase (NADPH) [EC1.5.1.20]
K00298,ce; N5-(carbxyethyl)rnithine synthase [EC1.5.1.24]
K00299,ssuE; FMN reductase [EC1.5.1.38]
K00300,mtdA; methylenetetrahydrflate/methylenetetrahydrmethanpterin dehydrgenase (NADP+) [EC1.5.1.5 1.5.1.-]
K00301,E1.5.3.1; sarcsine xidase [EC1.5.3.1]
K00302,sxA; sarcsine xidase, subunit alpha [EC1.5.3.1]
K00303,sxB; sarcsine xidase, subunit beta [EC1.5.3.1]
K00304,sxD; sarcsine xidase, subunit delta [EC1.5.3.1]
K00305,sxG; sarcsine xidase, subunit gamma [EC1.5.3.1]
K00306,PIPOX; sarcsine xidase / L-pipeclate xidase [EC1.5.3.1 1.5.3.7]
K00307,BBE1; reticuline xidase [EC1.21.3.3]
K00308,PAOX; N1-acetylplyamine xidase [EC1.5.3.13]
K00309,dmg; dimethylglycine xidase [EC1.5.3.10]
K00310,SE; pyrimiddiazepine synthase [EC1.5.4.1]
K00311,ETFDH; electrn-transferring-flavprtein dehydrgenase [EC1.5.5.1]
K00312,WNT3; wingless-type MMTV integratin site family, member 3
K00313,fixC; electrn transfer flavprtein-quinne xidreductase [EC1.5.5.-]
K00314,SARDH; sarcsine dehydrgenase [EC1.5.8.3]
K00315,DMGDH; dimethylglycine dehydrgenase [EC1.5.8.4]
K00316,spdH; spermidine dehydrgenase [EC1.5.99.6]
K00317,dmd-tmd; dimethylamine/trimethylamine dehydrgenase [EC1.5.8.1 1.5.8.2]
K00318,PRODH, fadM, putB; prline dehydrgenase [EC1.5.5.2]
K00319,mtd; methylenetetrahydrmethanpterin dehydrgenase [EC1.5.98.1]
K00320,mer; 5,10-methylenetetrahydrmethanpterin reductase [EC1.5.98.2]
K00322,sthA, udhA; NAD(P) transhydrgenase [EC1.6.1.1]
K00323,NNT; H+-translcating NAD(P) transhydrgenase [EC1.6.1.2 7.1.1.1]
K00324,pntA; H+-translcating NAD(P) transhydrgenase subunit alpha [EC1.6.1.2 7.1.1.1]
K00325,pntB; H+-translcating NAD(P) transhydrgenase subunit beta [EC1.6.1.2 7.1.1.1]
K00326,E1.6.2.2; cytchrme-b5 reductase [EC1.6.2.2]
K00327,POR; NADPH-ferrihemprtein reductase [EC1.6.2.4]
K00329,E7.1.1.2; NADH dehydrgenase [EC7.1.1.2]
K00330,nuA; NADH-quinne xidreductase subunit A [EC7.1.1.2]
K00331,nuB; NADH-quinne xidreductase subunit B [EC7.1.1.2]
K00332,nuC; NADH-quinne xidreductase subunit C [EC7.1.1.2]
K00333,nuD; NADH-quinne xidreductase subunit D [EC7.1.1.2]
K00334,nuE; NADH-quinne xidreductase subunit E [EC7.1.1.2]
K00335,nuF; NADH-quinne xidreductase subunit F [EC7.1.1.2]
K00336,nuG; NADH-quinne xidreductase subunit G [EC7.1.1.2]
K00337,nuH; NADH-quinne xidreductase subunit H [EC7.1.1.2]
K00338,nuI; NADH-quinne xidreductase subunit I [EC7.1.1.2]
K00339,nuJ; NADH-quinne xidreductase subunit J [EC7.1.1.2]
K00340,nuK; NADH-quinne xidreductase subunit K [EC7.1.1.2]
K00341,nuL; NADH-quinne xidreductase subunit L [EC7.1.1.2]
K00342,nuM; NADH-quinne xidreductase subunit M [EC7.1.1.2]
K00343,nuN; NADH-quinne xidreductase subunit N [EC7.1.1.2]
K00344,qr, CRYZ; NADPHquinne reductase [EC1.6.5.5]
K00345,ndhS; NAD(P)H-quinne xidreductase subunit S, chlrplastic [EC1.6.5.-]
K00346,nqrA; Na+-transprting NADHubiquinne xidreductase subunit A [EC7.2.1.1]
K00347,nqrB; Na+-transprting NADHubiquinne xidreductase subunit B [EC7.2.1.1]
K00348,nqrC; Na+-transprting NADHubiquinne xidreductase subunit C [EC7.2.1.1]
K00349,nqrD; Na+-transprting NADHubiquinne xidreductase subunit D [EC7.2.1.1]
K00350,nqrE; Na+-transprting NADHubiquinne xidreductase subunit E [EC7.2.1.1]
K00351,nqrF; Na+-transprting NADHubiquinne xidreductase subunit F [EC7.2.1.1]
K00354,E1.6.99.1; NADPH2 dehydrgenase [EC1.6.99.1]
K00355,NQO1; NAD(P)H dehydrgenase (quinne) [EC1.6.5.2]
K00356,E1.6.99.3; NADH dehydrgenase [EC1.6.99.3]
K00357,QDPR; dihydrpteridine reductase [EC1.5.1.34]
K00359,qrA; NADPHquinne reductase [EC1.6.5.5]
K00360,nasB; assimilatry nitrate reductase electrn transfer subunit [EC1.7.99.-]
K00362,nirB; nitrite reductase (NADH) large subunit [EC1.7.1.15]
K00363,nirD; nitrite reductase (NADH) small subunit [EC1.7.1.15]
K00364,E1.7.1.7, guaC; GMP reductase [EC1.7.1.7]
K00365,uaZ; urate xidase [EC1.7.3.3]
K00366,nirA; ferredxin-nitrite reductase [EC1.7.7.1]
K00367,narB; ferredxin-nitrate reductase [EC1.7.7.2]
K00368,nirK; nitrite reductase (NO-frming) [EC1.7.2.1]
K00370,narG, narZ, nxrA; nitrate reductase / nitrite xidreductase, alpha subunit [EC1.7.5.1 1.7.99.-]
